AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/12/2019,,,,9.4
2/12/2019,,,,2.9
3/12/2019,,,,0.0
4/12/2019,,,,4.8
5/12/2019,,,,9.8
6/12/2019,,,,0.0
7/12/2019,,,,4.1
8/12/2019,,,,0.0
9/12/2019,,,,2.0
10/12/2019,,,,0.0
11/12/2019,,,,0.8
12/12/2019,,,,0.0
13/12/2019,,,,0.0
14/12/2019,,,,0.0
15/12/2019,,,,0.0
16/12/2019,,,,0.0
17/12/2019,,,,0.0
18/12/2019,,,,11.8
19/12/2019,,,,5.1
20/12/2019,,,,2.5
21/12/2019,,,,0.4
22/12/2019,,,,0.0
23/12/2019,,,,0.0
24/12/2019,,,,0.0
25/12/2019,,,,0.0
26/12/2019,,,,2.4
27/12/2019,,,,11.8
28/12/2019,,,,12.6
29/12/2019,,,,6.0
30/12/2019,,,,14.3
31/12/2019,,,,0.0
