AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/1/2019,,,,0.0
2/1/2019,,,,0.0
3/1/2019,,,,0.0
4/1/2019,,,,13.0
5/1/2019,,,,0.0
6/1/2019,,,,0.0
7/1/2019,,,,0.0
8/1/2019,,,,0.0
9/1/2019,,,,0.0
10/1/2019,,,,0.0
11/1/2019,,,,0.0
12/1/2019,,,,0.0
13/1/2019,,,,0.0
14/1/2019,,,,0.0
15/1/2019,,,,8.4
16/1/2019,,,,5.6
17/1/2019,,,,8.2
18/1/2019,,,,0.3
19/1/2019,,,,5.5
20/1/2019,,,,0.2
21/1/2019,,,,1.4
22/1/2019,,,,0.0
23/1/2019,,,,0.6
24/1/2019,,,,0.4
25/1/2019,,,,0.0
26/1/2019,,,,0.0
27/1/2019,,,,2.3
28/1/2019,,,,8.0
29/1/2019,,,,10.4
30/1/2019,,,,0.2
31/1/2019,,,,1.5
