AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/2/2019,,,,4.7
2/2/2019,,,,7.1
3/2/2019,,,,6.0
4/2/2019,,,,7.1
5/2/2019,,,,3.0
6/2/2019,,,,11.8
7/2/2019,,,,3.6
8/2/2019,,,,1.5
9/2/2019,,,,7.3
10/2/2019,,,,0.0
11/2/2019,,,,1.5
12/2/2019,,,,0.0
13/2/2019,,,,0.0
14/2/2019,,,,8.2
15/2/2019,,,,0.0
16/2/2019,,,,0.0
17/2/2019,,,,0.0
18/2/2019,,,,0.0
19/2/2019,,,,12.7
20/2/2019,,,,8.6
21/2/2019,,,,2.0
22/2/2019,,,,0.5
23/2/2019,,,,1.1
24/2/2019,,,,50.7
25/2/2019,,,,24.6
26/2/2019,,,,7.8
27/2/2019,,,,0.0
28/2/2019,,,,0.0
