AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/3/2019,,,,3.9
2/3/2019,,,,0.0
3/3/2019,,,,0.4
4/3/2019,,,,0.0
5/3/2019,,,,15.8
6/3/2019,,,,0.0
7/3/2019,,,,0.0
8/3/2019,,,,0.0
9/3/2019,,,,0.0
10/3/2019,,,,2.7
11/3/2019,,,,1.0
12/3/2019,,,,2.8
13/3/2019,,,,4.9
14/3/2019,,,,0.0
15/3/2019,,,,4.5
16/3/2019,,,,0.3
17/3/2019,,,,11.5
18/3/2019,,,,0.5
19/3/2019,,,,31.5
20/3/2019,,,,7.2
21/3/2019,,,,17.4
22/3/2019,,,,7.5
23/3/2019,,,,0.2
24/3/2019,,,,0.0
25/3/2019,,,,0.0
26/3/2019,,,,0.0
27/3/2019,,,,0.3
28/3/2019,,,,5.0
29/3/2019,,,,1.0
30/3/2019,,,,0.0
31/3/2019,,,,0.0
