AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/11/2019,,,,10.2
2/11/2019,,,,7.5
3/11/2019,,,,5.5
4/11/2019,,,,2.4
5/11/2019,,,,2.5
6/11/2019,,,,1.2
7/11/2019,,,,0.5
8/11/2019,,,,0.0
9/11/2019,,,,4.5
10/11/2019,,,,23.0
11/11/2019,,,,0.0
12/11/2019,,,,0.5
13/11/2019,,,,0.0
14/11/2019,,,,0.0
15/11/2019,,,,0.0
16/11/2019,,,,0.0
17/11/2019,,,,0.0
18/11/2019,,,,0.0
19/11/2019,,,,0.0
20/11/2019,,,,0.0
21/11/2019,,,,3.8
22/11/2019,,,,0.0
23/11/2019,,,,0.0
24/11/2019,,,,0.0
25/11/2019,,,,0.0
26/11/2019,,,,0.0
27/11/2019,,,,5.8
28/11/2019,,,,0.0
29/11/2019,,,,0.7
30/11/2019,,,,3.6
