AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/10/2019,,,,0.0
2/10/2019,,,,0.0
3/10/2019,,,,0.0
4/10/2019,,,,0.0
5/10/2019,,,,1.5
6/10/2019,,,,8.4
7/10/2019,,,,4.7
8/10/2019,,,,0.0
9/10/2019,,,,0.0
10/10/2019,,,,0.0
11/10/2019,,,,0.0
12/10/2019,,,,0.0
13/10/2019,,,,3.0
14/10/2019,,,,0.0
15/10/2019,,,,5.8
16/10/2019,,,,2.2
17/10/2019,,,,10.7
18/10/2019,,,,4.2
19/10/2019,,,,1.8
20/10/2019,,,,0.0
21/10/2019,,,,6.4
22/10/2019,,,,8.1
23/10/2019,,,,0.0
24/10/2019,,,,0.0
25/10/2019,,,,0.0
26/10/2019,,,,0.0
27/10/2019,,,,0.0
28/10/2019,,,,0.0
29/10/2019,,,,0.0
30/10/2019,,,,2.7
31/10/2019,,,,6.8
